## @file 
# Early ALIGO (2015) ASD
1.4413323e+01 4.1268016e-22
1.4445993e+01 4.1081301e-22
1.4478736e+01 4.0895437e-22
1.4511555e+01 4.0710419e-22
1.4544447e+01 4.0526242e-22
1.4577414e+01 4.0342904e-22
1.4610456e+01 4.0160400e-22
1.4643573e+01 3.9978726e-22
1.4676764e+01 3.9797879e-22
1.4710031e+01 3.9617855e-22
1.4743374e+01 3.9438649e-22
1.4776792e+01 3.9260259e-22
1.4810286e+01 3.9082680e-22
1.4843855e+01 3.8905908e-22
1.4877501e+01 3.8729940e-22
1.4911223e+01 3.8554772e-22
1.4945021e+01 3.8380400e-22
1.4978896e+01 3.8206821e-22
1.5012848e+01 3.8034031e-22
1.5046877e+01 3.7862026e-22
1.5080983e+01 3.7690803e-22
1.5115166e+01 3.7520358e-22
1.5149427e+01 3.7350688e-22
1.5183765e+01 3.7181788e-22
1.5218181e+01 3.7013656e-22
1.5252676e+01 3.6846288e-22
1.5287248e+01 3.6679680e-22
1.5321899e+01 3.6513828e-22
1.5356628e+01 3.6348730e-22
1.5391436e+01 3.6184382e-22
1.5426323e+01 3.6020780e-22
1.5461289e+01 3.5857921e-22
1.5496334e+01 3.5695801e-22
1.5531459e+01 3.5534418e-22
1.5566663e+01 3.5373767e-22
1.5601947e+01 3.5213846e-22
1.5637311e+01 3.5054651e-22
1.5672755e+01 3.4896178e-22
1.5708280e+01 3.4738425e-22
1.5743885e+01 3.4581387e-22
1.5779571e+01 3.4425063e-22
1.5815337e+01 3.4269448e-22
1.5851185e+01 3.4114539e-22
1.5887114e+01 3.3960333e-22
1.5923125e+01 3.3806827e-22
1.5959217e+01 3.3654017e-22
1.5995390e+01 3.3501901e-22
1.6031646e+01 3.3350475e-22
1.6067984e+01 3.3199736e-22
1.6104405e+01 3.3049680e-22
1.6140908e+01 3.2900306e-22
1.6177493e+01 3.2751609e-22
1.6214162e+01 3.2603587e-22
1.6250914e+01 3.2456236e-22
1.6287749e+01 3.2309553e-22
1.6324667e+01 3.2163536e-22
1.6361670e+01 3.2018180e-22
1.6398756e+01 3.1873484e-22
1.6435926e+01 3.1729445e-22
1.6473180e+01 3.1586058e-22
1.6510519e+01 3.1443322e-22
1.6547942e+01 3.1301233e-22
1.6585451e+01 3.1159788e-22
1.6623044e+01 3.1018985e-22
1.6660723e+01 3.0878820e-22
1.6698486e+01 3.0739290e-22
1.6736336e+01 3.0600393e-22
1.6774271e+01 3.0462126e-22
1.6812293e+01 3.0324486e-22
1.6850400e+01 3.0187469e-22
1.6888594e+01 3.0051074e-22
1.6926874e+01 2.9915297e-22
1.6965242e+01 2.9780136e-22
1.7003696e+01 2.9645587e-22
1.7042237e+01 2.9511648e-22
1.7080866e+01 2.9378316e-22
1.7119582e+01 2.9245588e-22
1.7158386e+01 2.9113462e-22
1.7197278e+01 2.8981935e-22
1.7236258e+01 2.8851004e-22
1.7275326e+01 2.8720667e-22
1.7314483e+01 2.8590920e-22
1.7353729e+01 2.8461761e-22
1.7393064e+01 2.8333187e-22
1.7432488e+01 2.8205196e-22
1.7472001e+01 2.8077785e-22
1.7511604e+01 2.7950951e-22
1.7551296e+01 2.7824692e-22
1.7591079e+01 2.7699005e-22
1.7630952e+01 2.7573888e-22
1.7670915e+01 2.7449338e-22
1.7710968e+01 2.7325352e-22
1.7751113e+01 2.7201927e-22
1.7791348e+01 2.7079062e-22
1.7831675e+01 2.6956754e-22
1.7872093e+01 2.6835000e-22
1.7912603e+01 2.6713797e-22
1.7953204e+01 2.6593143e-22
1.7993898e+01 2.6473037e-22
1.8034683e+01 2.6353474e-22
1.8075562e+01 2.6234453e-22
1.8116532e+01 2.6115971e-22
1.8157596e+01 2.5998025e-22
1.8198753e+01 2.5880615e-22
1.8240003e+01 2.5763736e-22
1.8281347e+01 2.5647386e-22
1.8322784e+01 2.5531564e-22
1.8364315e+01 2.5416266e-22
1.8405941e+01 2.5301490e-22
1.8447660e+01 2.5187235e-22
1.8489475e+01 2.5073497e-22
1.8531384e+01 2.4960274e-22
1.8573388e+01 2.4847564e-22
1.8615487e+01 2.4735364e-22
1.8657682e+01 2.4623673e-22
1.8699972e+01 2.4512487e-22
1.8742358e+01 2.4401806e-22
1.8784840e+01 2.4291625e-22
1.8827419e+01 2.4181944e-22
1.8870094e+01 2.4072759e-22
1.8912866e+01 2.3964069e-22
1.8955734e+01 2.3855871e-22
